RESIDENCE: ,Total Abortions,Rate,White Non-Hispanic,Rate,Af. An. Non-Hispanic,Rate,Am. Ind. Non-Hispanic,Rate,Other Non-Hispanic,Rate,Hispanic,Rate
PAMLICO ,9,* ,6,* ,2,* ,0,* ,1,* ,0,* 
PASQUOTANK ,64,8.4,16,* ,40,13,0,* ,1,* ,1,* 
PENDER ,93,8.8,55,7,27,18,0,* ,0,* ,6,* 
PERQUIMANS ,13,* ,4,* ,6,* ,0,* ,2,* ,0,* 
PERSON ,75,11.4,25,5.8,40,21.5,0,* ,0,* ,8,* 
PITT ,436,9.8,134,5.6,240,14.8,3,* ,6,* ,31,11
POLK ,17,* ,11,* ,1,* ,0,* ,0,* ,3,* 
RANDOLPH ,178,7,90,4.7,40,22,0,* ,9,* ,32,8.6
RICHMOND ,77,9.6,30,7.1,38,13.2,1,* ,1,* ,5,* 
ROBESON ,236,9.3,23,4.1,97,15.8,72,6.4,2,* ,16,* 
ROCKINGHAM ,161,10.6,75,7,62,20.1,1,* ,1,* ,15,* 
ROWAN ,254,9.9,91,5.2,106,21,1,* ,5,* ,39,13.9
RUTHERFORD ,64,5.8,34,3.8,22,18.4,0,* ,2,* ,4,* 
SAMPSON ,106,9.5,25,4.7,55,19.2,1,* ,0,* ,22,8.2
SCOTLAND ,67,11.1,15,* ,36,14.8,6,* ,3,* ,0,* 
STANLY ,82,7.6,43,5,22,16.4,0,* ,2,* ,8,* 
STOKES ,35,4.8,31,4.7,1,* ,0,* ,0,* ,1,* 
SURRY ,75,6.2,50,5.2,7,* ,1,* ,1,* ,14,* 
SWAIN ,15,* ,9,* ,0,* ,2,* ,2,* ,2,* 
TRANSYLVANIA ,25,5,19,* ,2,* ,0,* ,0,* ,3,* 
TYRRELL ,6,* ,2,* ,2,* ,0,* ,0,* ,1,* 
UNION ,301,6.6,130,4.1,115,19.4,0,* ,7,* ,40,6.5
VANCE ,129,15.7,19,* ,95,20.1,0,* ,0,* ,9,* 
WAKE ,"2,977",12.3,851,6.2,"1,313",23.8,22,24.8,196,8.9,432,15.8
WARREN ,30,10.6,7,* ,19,* ,1,* ,0,* ,2,* 
WASHINGTON ,22,12.4,3,* ,18,* ,0,* ,0,* ,1,* 
WATAUGA ,71,5.1,58,4.5,2,* ,0,* ,2,* ,6,* 
WAYNE ,303,13.1,74,6.5,171,22,2,* ,4,* ,39,11.3
WILKES ,64,5.7,51,5.4,5,* ,1,* ,0,* ,5,* 
WILSON ,202,13.2,32,5,133,19.8,2,* ,5,* ,22,12
YADKIN ,23,3.8,14,* ,0,* ,0,* ,1,* ,6,* 
YANCEY ,8,* ,6,* ,0,* ,0,* ,1,* ,0,* 
