ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a County based table with the following filters applied: State(s) (All Years): NORTH CAROLINA

County Name,County Number [Public School] 2018-19,Total Number of Public Schools [Public School] 2018-19,Total Number of Public Schools [Public School] 2017-18,Total Number of Public Schools [Public School] 2016-17,Total Number of Public Schools [Public School] 2015-16,Total Number of Public Schools [Public School] 2014-15,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2016-17,American Indian/Alaska Native Students [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2017-18,Hispanic Students [Public School] 2016-17,Hispanic Students [Public School] 2015-16,Hispanic Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2017-18,Black Students [Public School] 2016-17,Black Students [Public School] 2015-16,Black Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2017-18,White Students [Public School] 2016-17,White Students [Public School] 2015-16,White Students [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2017-18,Two or More Races Students [Public School] 2016-17,Two or More Races Students [Public School] 2015-16,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2017-18,Total Race/Ethnicity [Public School] 2016-17,Total Race/Ethnicity [Public School] 2015-16,Total Race/Ethnicity [Public School] 2014-15
Martin County NC  ,37117,10,12,12,12,13,3085,3193,3321,3404,3475,10,16,24,43,13,2,1,2,2,4,23,27,25,26,30,300,315,300,274,271,1554,1628,1731,1809,1820,1648,1705,1765,1732,1717,4,4,1,1,="0",114,106,104,94,95,3645,3786,†,3938,3937
McDowell County NC  ,37111,14,14,13,13,13,2925,4881,5096,5173,4542,523,143,127,150,257,19,20,25,29,28,50,59,62,64,60,817,821,815,778,738,181,176,181,182,183,4624,4759,4882,4989,5105,2,4,4,4,4,238,217,220,199,220,5931,6056,†,6245,6338
Mecklenburg County NC  ,37119,209,208,203,196,191,85605,86739,87831,87387,85262,4586,4466,4484,4336,4747,452,639,675,729,716,11216,10712,10063,9385,8775,38403,36877,34869,32917,31200,61801,62221,62360,62938,62856,47764,48066,48207,49190,49115,205,223,203,177,166,4705,4446,4170,3881,3713,164546,163184,†,159217,156541
Mitchell County NC  ,37121,6,6,6,6,6,739,796,849,847,852,164,133,140,160,196,1,1,2,2,1,13,17,13,13,15,186,179,153,147,153,5,4,4,4,5,1474,1492,1533,1595,1659,1,1,1,1,1,32,27,21,18,18,1712,1721,†,1780,1852
Montgomery County NC  ,37123,13,12,12,11,11,2459,2489,2681,2706,2710,417,440,343,364,382,6,4,5,3,7,61,66,66,76,79,1410,1381,1373,1395,1393,777,799,806,817,844,1540,1638,1660,1720,1765,5,6,6,6,15,156,156,132,117,91,3955,4050,†,4134,4194
Moore County NC  ,37125,27,26,25,25,25,5189,4681,5020,5091,5149,459,692,726,683,709,139,143,164,167,171,133,138,146,152,153,1908,1803,1712,1695,1672,2090,2120,2196,2277,2315,8872,8775,8749,8797,8843,17,12,12,14,16,708,609,530,479,433,13867,13600,†,13581,13603
Nash County NC  ,37127,27,26,25,26,26,10244,10676,10423,10744,9854,796,752,782,1036,1351,110,118,116,129,130,137,132,134,131,144,2024,1996,1946,2038,1975,7513,7654,7665,8114,8071,4649,4807,5018,5367,5689,15,13,14,16,12,493,494,493,536,578,14941,15214,†,16331,16599
New Hanover County NC  ,37129,49,50,49,46,46,15215,12800,13680,12598,12496,421,949,862,1045,1410,96,89,90,90,103,469,490,466,409,409,3832,3701,3518,3237,3035,5330,5436,5595,5624,5722,16966,17066,16734,16678,16608,27,28,31,34,39,1228,1174,1083,1016,1013,27948,27984,†,27088,26929
Northampton County NC  ,37131,8,8,8,8,9,2791,2526,2694,2721,2666,1,136,114,177,173,17,16,14,18,20,25,27,24,19,23,143,125,115,120,105,2249,2389,2461,2498,2437,285,331,399,488,494,1,1,1,1,1,106,91,102,106,76,2826,2980,†,3250,3156
Onslow County NC  ,37133,37,37,37,36,36,12358,9797,11159,9448,9164,1113,2112,1657,1949,2128,104,109,127,141,150,291,318,345,339,318,4003,3911,3626,3526,3235,5000,5106,5144,5106,5057,15139,14988,14960,15041,15224,103,106,101,95,115,2386,2302,2167,2041,1849,27026,26840,†,26289,25948
Orange County NC  ,37135,35,35,35,36,36,5510,5399,5825,5736,5594,720,713,754,719,796,43,47,50,65,75,1877,1868,1925,1886,1911,3972,3825,3590,3415,3227,2495,2452,2515,2526,2609,11153,11150,11114,11166,11376,4,5,6,9,13,1319,1190,1102,1069,1019,20863,20537,†,20136,20230
Pamlico County NC  ,37137,5,5,5,5,5,1352,1218,1215,1282,1497,47,87,80,77,47,8,8,5,6,8,7,9,8,10,9,178,166,144,156,124,322,323,316,339,347,1250,1204,1227,1212,1191,2,2,4,2,3,152,133,122,105,94,1919,1845,†,1830,1776
Pasquotank County NC  ,37139,14,14,14,13,12,3631,3696,3920,3238,3274,287,301,250,503,568,12,16,21,20,17,47,49,49,52,56,523,500,464,419,388,2567,2593,2672,2615,2611,2526,2567,2635,2650,2611,5,7,9,7,5,317,307,269,274,248,5997,6039,†,6037,5936
Pender County NC  ,37141,18,18,16,16,16,5159,3726,4436,4212,3952,175,595,515,597,614,23,28,41,47,41,45,49,50,49,49,1441,1378,1307,1210,1144,1320,1351,1373,1406,1468,6183,6258,6375,6174,6137,3,3,5,6,7,415,393,339,299,239,9430,9460,†,9191,9085
Perquimans County NC  ,37143,4,4,4,4,4,799,834,928,905,903,119,141,114,133,153,1,1,="0",4,2,1,2,3,6,7,61,54,63,57,53,412,441,442,469,512,1099,1075,1108,1147,1133,1,1,1,="0",="0",75,61,56,61,55,1650,1635,†,1744,1762
Person County NC  ,37145,13,13,13,12,12,3368,3387,3593,3656,3581,199,169,177,185,205,30,33,32,34,35,20,17,19,13,15,484,477,471,453,457,1607,1691,1750,1736,1750,3060,3110,3196,3267,3289,="0",1,2,2,4,321,271,263,252,225,5522,5600,†,5757,5775
Pitt County NC  ,37147,41,41,40,39,36,15477,14867,14855,14371,13784,493,818,743,1001,1019,51,55,58,53,51,400,383,372,364,345,2960,2896,2878,2748,2667,11508,11742,11698,11809,11687,8715,8805,8747,8633,8733,29,25,23,18,14,1085,1005,920,828,808,24748,24911,†,24453,24305
Polk County NC  ,37149,7,7,7,7,7,1465,1469,1547,1819,1619,88,94,89,42,108,1,="0",3,5,5,6,6,2,5,6,290,283,289,279,303,121,115,118,127,129,1692,1704,1733,1778,1850,1,1,1,1,="0",116,103,110,94,87,2227,2212,†,2289,2380
Randolph County NC  ,37151,40,40,40,40,40,10722,10560,11714,11795,11874,1586,1632,1671,1781,1769,75,75,86,104,111,372,369,362,339,329,5273,5253,5294,5165,5043,1340,1302,1385,1381,1344,14267,14554,14952,15515,15660,13,10,12,10,8,923,939,877,836,751,22263,22502,†,23350,23246
Richmond County NC  ,37153,15,15,16,16,16,7181,7260,7395,6616,6750,="0",="0",="0",134,155,225,241,257,278,297,50,42,43,51,47,906,903,872,834,825,2555,2605,2685,2748,2841,3101,3190,3314,3376,3453,13,14,11,10,8,389,373,348,312,270,7239,7368,†,7609,7741
Robeson County NC  ,37155,43,45,44,45,45,22324,22664,23169,23945,24023,5,17,27,62,66,9401,9773,10081,10329,10502,138,129,143,145,154,3862,3782,3775,3663,3503,5186,5408,5777,6030,6203,2918,3068,3282,3600,3694,47,38,49,29,25,1064,1017,975,987,891,22616,23215,†,24783,24972
Rockingham County NC  ,37157,24,27,26,27,27,6987,7205,6499,12761,13048,558,462,446,46,31,26,34,37,39,42,64,69,69,82,74,1726,1728,1708,1677,1641,2367,2400,2432,2462,2587,7576,7639,7893,8152,8369,12,13,15,9,12,740,692,666,662,671,12511,12575,†,13083,13396
Rowan County NC  ,37159,36,38,36,37,37,11896,12197,12729,13134,11337,841,815,810,960,1640,42,48,52,62,76,188,211,218,280,274,3655,3552,3442,3460,3320,3585,3669,3784,3897,3936,11030,11359,11695,12746,13124,14,14,17,21,25,929,864,773,734,690,19443,19717,†,21200,21445
Rutherford County NC  ,37161,20,20,20,20,20,8259,8411,8316,8567,8689,="0",="0",96,133,91,13,18,20,27,33,84,73,73,76,69,829,806,725,678,663,1092,1090,1114,1132,1188,7239,7391,7483,7715,7722,4,2,3,3,4,652,637,632,624,600,9913,10017,†,10255,10279
Sampson County NC  ,37163,23,23,23,23,23,11148,11403,11350,7579,7527,="0",1,16,900,917,142,150,147,160,172,44,43,48,42,51,4290,4245,4136,3974,3896,2589,2692,2782,2887,2920,3767,4014,4178,4342,4477,9,10,11,9,11,418,410,375,400,412,11259,11564,†,11814,11939
Scotland County NC  ,37165,11,12,12,14,14,5689,5790,5851,5925,6076,="0",="0",="0",="0",="0",908,924,963,963,959,57,49,59,56,56,204,204,191,170,164,2599,2685,2751,2732,2817,1662,1741,1769,1810,1900,9,6,5,7,3,294,270,253,253,248,5733,5879,†,5991,6147
Stanly County NC  ,37167,23,23,22,22,22,3971,3932,4080,4139,3990,481,453,529,524,730,22,23,23,24,26,295,310,315,307,286,801,765,734,725,672,1205,1162,1137,1110,1161,6475,6447,6327,6496,6600,7,7,10,9,7,470,431,407,383,352,9275,9145,†,9054,9104
Stokes County NC  ,37169,19,19,19,20,20,2329,2415,2629,2650,2724,587,568,507,565,593,12,12,16,18,15,13,17,16,20,23,272,276,283,290,304,183,171,184,195,209,5205,5323,5446,5581,5806,2,2,2,5,7,234,217,201,186,199,5921,6018,†,6295,6563
Surry County NC  ,37171,27,27,27,27,27,5538,5489,5668,5907,5855,852,977,914,819,915,11,11,13,12,12,78,71,68,65,69,2637,2586,2509,2471,2415,372,399,380,402,402,8041,8275,8447,8656,8782,3,3,4,3,7,363,361,335,297,303,11505,11706,†,11906,11990
Swain County NC  ,37173,6,6,6,6,6,1148,2312,1181,1113,‡,162,‡,238,202,‡,439,477,487,488,‡,14,‡,14,15,‡,126,‡,110,106,‡,20,‡,17,18,‡,1499,‡,1508,1498,‡,1,‡,1,1,‡,127,‡,115,99,‡,2226,2249,†,2225,2290
Transylvania County NC  ,37175,10,10,10,10,10,1539,1566,1728,1768,1779,250,279,293,319,324,11,11,11,12,11,22,25,25,23,23,330,284,262,242,230,146,163,164,181,184,3072,3111,3082,3121,3154,7,8,15,16,14,213,207,193,187,181,3801,3809,†,3782,3797
Tyrrell County NC  ,37177,3,3,3,3,3,644,604,378,362,384,="0",="0",54,67,57,1,1,2,1,1,13,16,21,19,17,129,116,114,107,97,215,198,192,204,199,247,230,227,216,234,1,1,1,1,1,47,55,59,47,45,653,617,†,595,594
Union County NC  ,37179,57,58,56,53,53,11410,12020,12676,12352,12504,1408,1476,1856,2098,2167,91,93,99,102,109,2038,1789,1551,1290,1104,8068,7838,7594,7170,6763,5525,5549,5737,5518,5508,27537,27757,28348,28259,28464,19,20,12,14,21,1586,1490,1344,1245,1093,44864,44536,†,43598,43062
Vance County NC  ,37181,17,19,19,19,19,7076,7137,7085,7276,7020,="0",="0",49,38,42,12,13,18,14,10,133,107,94,80,73,1174,1135,1078,1075,1024,4682,4784,4683,4677,4691,1656,1687,1754,1807,1873,7,6,5,6,2,235,215,207,218,194,7899,7947,†,7877,7867
Wake County NC  ,37183,218,217,207,202,194,47255,46514,50380,49204,48711,8427,8584,7219,7371,8102,471,473,482,479,536,16412,15466,14183,12863,11828,30810,30048,28907,27742,26411,39246,39382,39330,39270,39418,82365,82269,81912,81311,80649,215,239,246,297,228,6750,6618,6357,6213,6256,176269,174495,†,168175,165326
Warren County NC  ,37185,9,9,9,9,9,2108,2225,2363,2503,2434,="0",1,="0",="0",="0",260,252,259,286,309,11,6,4,7,9,173,177,186,174,183,1314,1411,1505,1592,1664,300,335,385,423,438,5,1,1,2,1,76,73,73,54,51,2139,2255,†,2538,2655
Washington County NC  ,37187,6,6,6,5,5,1344,1457,1513,1603,1669,="0",="0",="0",="0",="0",="0",2,2,2,3,10,8,7,7,6,114,132,127,127,138,1040,1099,1123,1164,1183,156,224,257,292,332,="0",="0",="0",="0",="0",39,31,39,31,26,1359,1496,†,1623,1688
Watauga County NC  ,37189,11,11,11,12,11,1229,1269,1446,1452,1417,361,377,354,346,367,14,14,11,9,5,76,72,64,58,54,443,442,425,375,362,63,58,58,56,56,4142,4083,3973,3969,4017,4,5,4,4,3,133,133,133,126,118,4875,4807,†,4597,4615
Wayne County NC  ,37191,34,34,34,35,33,16394,15973,13277,12716,12635,100,255,680,1018,987,35,36,38,39,43,233,238,263,253,217,4407,4307,4144,3979,3817,6994,6999,6893,6951,7049,6973,7207,7505,7735,7833,17,16,27,30,22,776,740,711,777,832,19435,19543,†,19764,19813
Wilkes County NC  ,37193,23,23,23,23,23,7674,7888,9839,10074,10330,162,186,="0",="0",="0",15,16,21,25,30,50,47,47,47,37,1405,1437,1425,1394,1371,357,380,392,391,442,7272,7620,7810,7957,8236,1,1,1,2,2,519,451,402,371,312,9619,9952,†,10187,10430
Wilson County NC  ,37195,29,29,29,28,27,7196,9598,10076,9664,9753,219,370,420,434,434,32,30,33,31,28,168,166,148,148,155,2766,2740,2680,2537,2426,5902,6066,6266,5917,5900,3763,3935,4080,4023,4149,12,16,10,7,9,446,432,430,373,354,13089,13385,†,13036,13021
Yadkin County NC  ,37197,14,14,14,14,14,2583,2643,2794,2188,2614,490,493,447,413,461,14,17,16,16,19,17,15,15,24,20,1370,1351,1325,1314,1278,157,168,168,164,172,3651,3760,3838,3950,4042,3,7,8,10,10,140,135,135,124,101,5352,5453,†,5602,5642
Yancey County NC  ,37199,9,9,9,9,9,906,912,1009,1007,1007,162,221,212,231,226,9,8,7,7,5,1,="0",1,2,1,298,304,302,281,276,12,11,12,15,15,1789,1853,1857,1875,1915,1,1,="0",="0",="0",38,38,36,26,23,2148,2215,†,2206,2235


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Public Elementary/Secondary School Universe Survey" 2016-17 v.2a  2017-18 v.1a  2018-19 v.1a; "Public Elementary/Secondary School Universe Survey Directory Data" 2014-15 v.1a  2015-16 v.2a; "Public Elementary/Secondary School Universe Survey Free Lunch Data" 2014-15 v.1a  2015-16 v.2a; "Public Elementary/Secondary School Universe Survey Geographic Data (EDGE)" 2018-19 v.1a; "Public Elementary/Secondary School Universe Survey Membership Data" 2014-15 v.1a  2015-16 v.2a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
