State,Waiting for Adoption 2010,Waiting for Adoption 2011,Waiting for Adoption 2012,Waiting for Adoption 2013,Waiting for Adoption 2014,Waiting for Adoption 2015,Waiting for Adoption 2016,Waiting for Adoption 2017,Waiting for Adoption 2018,Waiting for Adoption 2019,Parental Rights Terminated 2010,Parental Rights Terminated 2011,Parental Rights Terminated 2012,Parental Rights Terminated 2013,Parental Rights Terminated 2014,Parental Rights Terminated 2015,Parental Rights Terminated 2016,Parental Rights Terminated 2017,Parental Rights Terminated 2018,Parental Rights Terminated 2019,Adopted 2010,Adopted 2011,Adopted 2012,Adopted 2013,Adopted 2014,Adopted 2015,Adopted 2016,Adopted 2017,Adopted 2018,Adopted 2019,Served 2010,Served 2011,Served 2012,Served 2013,Served 2014,Served 2015,Served 2016,Served 2017,Served 2018,Served 2019,STATEFP20,Adopted Over Waiting for Adoption 2010,Parental Rights Terminated Over Waiting For Adoption 2010,Adopted Over Waiting for Adoption 2011,Parental Rights Terminated Over Waiting For Adoption 2011,Adopted Over Waiting for Adoption 2012,Parental Rights Terminated Over Waiting For Adoption 2012,Adopted Over Waiting for Adoption 2013,Parental Rights Terminated Over Waiting For Adoption 2013,Adopted Over Waiting for Adoption 2014,Parental Rights Terminated Over Waiting For Adoption 2014,Adopted Over Waiting for Adoption 2015,Parental Rights Terminated Over Waiting For Adoption 2015,Adopted Over Waiting for Adoption 2016,Parental Rights Terminated Over Waiting For Adoption 2016,Adopted Over Waiting for Adoption 2017,Parental Rights Terminated Over Waiting For Adoption 2017,Adopted Over Waiting for Adoption 2018,Parental Rights Terminated Over Waiting For Adoption 2018,Adopted Over Waiting for Adoption 2019,Parental Rights Terminated Over Waiting For Adoption 2019,"Maternal Deaths Per 100,000 Births",Abortion Overview,Score,Grade
Georgia,1690,1567,1648,1799,1983,2544,2998,3404,3633,3456,822,834,888,813,1171,1056,1001,1876,1900,2028,1196,1071,915,1031,887,912,1121,1401,1469,1668,13333,13203,13618,13526,15011,17447,19312,20037,21050,20176,13,0.7076923076923077,0.4863905325443787,0.6834716017868538,0.5322271857051691,0.5552184466019418,0.5388349514563107,0.5730961645358532,0.4519177320733741,0.44730206757438223,0.5905194150277358,0.3584905660377358,0.4150943396226415,0.3739159439626418,0.3338892595063376,0.4115746180963572,0.5511163337250293,0.4043490228461327,0.5229837599779796,0.4826388888888889,0.5868055555555556,48.4,neither,10.0,F
Hawaii,351,296,223,154,187,142,177,247,290,278,312,267,196,137,174,119,150,236,276,267,216,198,187,160,121,176,129,152,189,206,2466,2240,2178,2065,2140,2338,2511,2697,2730,2875,15,0.6153846153846154,0.8888888888888888,0.668918918918919,0.902027027027027,0.8385650224215246,0.8789237668161435,1.0389610389610389,0.8896103896103896,0.6470588235294118,0.93048128342246,1.2394366197183098,0.8380281690140845,0.7288135593220338,0.8474576271186439,0.6153846153846154,0.9554655870445344,0.6517241379310345,0.9517241379310344,0.7410071942446043,0.960431654676259,12.9,protected,100.0,B+
Idaho,389,334,278,328,322,318,390,287,532,557,297,262,186,215,212,216,273,269,345,338,313,259,273,206,218,223,185,258,245,328,2797,2651,2410,2437,2435,2323,2594,2687,2956,3041,16,0.8046272493573264,0.7634961439588689,0.7754491017964071,0.7844311377245509,0.9820143884892086,0.6690647482014388,0.6280487804878049,0.6554878048780488,0.6770186335403726,0.6583850931677019,0.7012578616352201,0.6792452830188679,0.4743589743589744,0.7,0.8989547038327527,0.9372822299651568,0.4605263157894737,0.6484962406015038,0.5888689407540395,0.6068222621184919,23.8,significantly restricted,10.0,F
Illinois,2953,3151,2813,2988,2903,2806,2966,2848,2710,2767,2611,1963,1689,1766,1638,1653,2522,2469,2292,2215,1214,1217,1803,1356,1616,1788,1546,1777,1754,1747,23854,21606,21250,20684,21009,20903,19998,19722,21118,23032,17,0.4111073484591941,0.8841855739925499,0.3862265947318312,0.6229768327515075,0.6409527195165304,0.6004265908282972,0.4538152610441767,0.5910307898259706,0.5566655184292112,0.5642438856355494,0.6372059871703493,0.5890947968638631,0.5212407282535402,0.8503034389750506,0.6239466292134831,0.8669241573033708,0.6472324723247233,0.8457564575645756,0.6313697144922299,0.8005059631369714,14.7,protected,35.0,C-
Indiana,3192,2886,2451,2437,2731,2965,3773,4418,4778,4302,1980,1397,1053,970,1023,1226,1197,1276,1573,1606,1458,1556,1713,961,850,1152,1536,1964,2016,2489,21157,19378,18292,18841,21258,24935,29315,32081,30693,27206,18,0.4567669172932331,0.6203007518796992,0.5391545391545391,0.4840609840609841,0.6988984088127295,0.4296205630354957,0.3943372999589659,0.3980303652031186,0.3112413035518125,0.3745880629805932,0.3885328836424958,0.4134907251264756,0.40710310098065206,0.3172541743970315,0.44454504300588493,0.2888184698958805,0.4219338635412305,0.3292172457095019,0.5785681078568108,0.37331473733147374,43.6,neither,20.0,D-
Iowa,1068,1088,961,964,1050,1014,1111,1137,1206,1358,812,861,772,731,792,734,837,863,924,1012,801,864,1032,917,878,1017,992,1006,1074,1228,11036,10709,10441,10570,10032,9806,8930,9388,9866,9774,19,0.75,0.7602996254681648,0.7941176470588235,0.7913602941176471,1.0738813735691988,0.8033298647242456,0.9512448132780082,0.758298755186722,0.8361904761904762,0.7542857142857143,1.0029585798816567,0.7238658777120316,0.8928892889288929,0.7533753375337534,0.8847845206684257,0.7590149516270889,0.8905472636815921,0.7661691542288557,0.9042709867452136,0.7452135493372607,18.3,neither,30.0,D+
Kansas,1825,1817,1853,1843,2116,2340,2392,2583,2616,2376,1291,1265,1192,1210,1217,1286,1481,1667,1811,1695,694,781,764,674,695,783,870,674,936,1227,9152,9319,9473,9845,10095,10597,10930,11138,11764,12064,20,0.3802739726027397,0.7073972602739727,0.4298293891029169,0.6962025316455697,0.4123043712898003,0.6432811656772801,0.3657080846446012,0.6565382528486163,0.3284499054820416,0.5751417769376181,0.3346153846153846,0.5495726495726496,0.3637123745819398,0.6191471571906354,0.2609368950832365,0.6453735965931088,0.3577981651376147,0.6922782874617737,0.5164141414141414,0.7133838383838383,18.9,significantly restricted,10.0,F
Kentucky,1951,1918,1999,2224,2420,2579,2606,2695,2834,3152,1232,1095,1173,1179,1243,1439,1457,1665,1594,1943,754,824,784,797,909,961,1104,1128,1124,1368,12115,11767,11864,12173,12631,12546,13027,13555,15348,15783,21,0.3864684777037417,0.6314710404920554,0.4296141814389989,0.5709071949947863,0.3921960980490245,0.5867933966983492,0.3583633093525179,0.5301258992805755,0.3756198347107438,0.5136363636363637,0.3726250484683986,0.5579682047305157,0.4236377590176516,0.5590943975441289,0.4185528756957329,0.6178107606679035,0.3966125617501765,0.5624558927311221,0.434010152284264,0.6164340101522843,22.9,significantly restricted,20.0,D-
Louisiana,1091,1162,1089,961,1033,1220,1297,1378,1395,1337,727,809,674,554,593,544,577,678,669,639,641,641,655,731,622,662,727,766,905,895,8101,8069,7513,7384,7910,8293,8145,7904,8020,7237,22,0.5875343721356554,0.6663611365719523,0.5516351118760757,0.6962134251290878,0.6014692378328742,0.6189164370982553,0.7606659729448492,0.5764828303850156,0.6021297192642788,0.57405614714424,0.5426229508196722,0.4459016393442623,0.5605242868157286,0.4448727833461835,0.5558780841799711,0.4920174165457185,0.6487455197132617,0.4795698924731183,0.6694091249065071,0.4779356768885565,58.1,significantly restricted,60.0,C+
Maine,575,511,480,564,590,666,647,576,482,510,490,449,404,501,510,567,556,502,428,412,276,296,291,214,295,328,399,456,395,294,2387,2081,2179,2453,2652,2763,2758,2651,2651,2997,23,0.48,0.8521739130434782,0.5792563600782779,0.8786692759295499,0.60625,0.8416666666666667,0.3794326241134752,0.8882978723404256,0.5,0.8644067796610171,0.4924924924924925,0.8513513513513513,0.616692426584235,0.8593508500772797,0.7916666666666666,0.8715277777777778,0.8195020746887967,0.8879668049792531,0.5764705882352941,0.807843137254902,18.9,protected,75.0,B-
